PC1,PC2,PC1_bin
0.9070257982071679,0.6798056652962347,High
0.7530117639022229,-0.4304007004212094,High
0.7009720872416398,-0.28718076712742097,High
0.8452707193614859,0.40308395601993763,High
0.7866731971374383,-0.24053814025046255,High
0.9415648594096595,0.7013174255964522,High
0.9337563426720985,0.44471778381301674,High
0.9943441659433576,0.5623662475313845,High
0.8471313278756918,0.3088984789721957,High
0.6530516730135031,-0.4541722478843368,High
0.861878387432021,0.7088111737065147,High
0.8974807643458693,0.289820449901943,High
1.0145925202414674,0.11443525313676606,High
0.7188967184625985,0.02329593854345508,High
0.594828136812684,-0.563744551833767,High
0.8159010331637973,0.09814620480573533,High
1.1084895317498784,1.1245471818129085,High
0.8404672567320908,0.10761239331696182,High
1.0072953066818169,0.6988817763659579,High
1.393603839854049,1.8771640128402607,High
1.211734765155794,1.3769916054197093,High
0.6452788184130945,-0.06048035871897533,High
0.7890350593833753,-0.465538592755898,High
1.1254853663334317,0.9847596885798277,High
0.711578597756292,-0.304231039079337,High
1.0427761928837616,0.7255907386415775,High
0.7371612135955308,-0.22020899905131908,High
0.9534920827734108,0.5098880072925432,High
1.0404858982772394,1.0934839783655208,High
0.8576529097909074,0.6365330244892461,High
1.5471760631204183,1.3540188496404113,High
1.018228508678339,0.350422345542691,High
0.8766044118922238,0.7041939615391398,High
0.916809557001228,0.20660532923479125,High
1.3137537408225322,1.5057799982681044,High
0.6333747788529929,-0.9229100968166706,High
1.2258144942915283,0.4492342808578311,High
1.032547690998497,0.4026375583759668,High
1.0427875996118805,0.34630380183074994,High
1.1219861453141629,1.1373770043171947,High
1.348954188969201,1.490146984219247,High
0.8991840253001786,0.19340587496548822,High
1.0845715776704061,0.8456133282492017,High
1.1411334902119703,0.6145177416218491,High
0.6928862896723005,-0.29131313351128113,High
1.3214920232616654,1.2869242941265915,High
0.758909631284272,-0.6583749759742014,High
1.0379303563520406,0.36623960136018796,High
1.2035160933059919,0.883015382899382,High
1.314710047808857,1.3739016978150222,High
0.9155564600580179,0.3364340199120611,High
1.1267027196056352,0.548680424913348,High
1.1887821594756753,0.6914596516627997,High
0.9950290614150115,0.6460338706491083,High
1.1113662403239057,0.8643293104643847,High
1.058149535030652,0.8934593370939398,High
1.0378022968788714,0.7663468705783839,High
1.0826940199579669,0.6688741843413247,High
0.47458580494403263,-1.1458893207691052,High
0.7096296947606995,-1.1824001999767713,High
0.913512718641301,0.41558052861984973,High
1.0973222150924122,0.3727718085913204,High
1.1404449033155817,0.4793376903144052,High
1.3447387286078982,1.4307085969711295,High
1.2210910290686825,1.2199341091425124,High
0.8537188038019998,0.2937672924402215,High
1.325740393081858,1.0090898029016824,High
1.1224856644791315,0.5613264615552668,High
1.2638176694354828,1.4683203659291002,High
0.7482843767590295,-0.5161576199795423,High
1.0044103059145812,0.31640651840057654,High
0.5373974565355437,-1.4679043997256203,High
1.2571655389350396,0.8069198251806183,High
1.114372847686564,0.879384381137602,High
0.8687406781668368,-0.9340896676159275,High
0.6158603004876945,-0.484253939263085,High
1.0153818710153308,0.25781746846607523,High
0.7379094302322791,-0.14580939205143995,High
1.1120602816621248,0.5358141708330412,High
1.0844282873483915,0.8668009222270415,High
1.1673875838584413,1.1583229758421425,High
1.1738763395641212,0.6351773748656003,High
1.0055805152045478,0.5985607858321246,High
0.7689883074645254,-0.21803481597194913,High
1.1462699735696467,0.713982996109581,High
0.583640557676049,-0.705991554994524,High
0.7251449514205888,-0.593773234184294,High
0.9275701757046155,-0.44332115494375696,High
1.5168375613571816,1.4532739907543895,High
0.973463822020354,-0.007522677224834068,High
0.9702256091303514,0.5259722131454144,High
1.1312545158614833,0.6339874889367606,High
1.148173444194564,0.9896301266260038,High
1.2097586292940306,0.5783994166072205,High
1.255628299197499,0.619600923024244,High
0.9826531770432054,-0.19781228924904387,High
1.1299329503393236,-0.14531272792705352,High
1.1969810810019805,0.21648102013977144,High
1.090253213159314,0.8299319494158116,High
1.1880288909308603,0.7130349292040542,High
0.7648696913114004,-0.7519698795908245,High
1.1678857150706456,0.7470722319688122,High
1.256904325713867,1.1987866789568074,High
0.7921815287892844,-0.6070066490792662,High
0.9416008120831414,-0.426482819855794,High
1.1741606217079767,0.951247046688049,High
1.2190678002480109,0.37613762364903514,High
1.4679280080020678,1.444705876085545,High
0.8153596032190107,-0.18923077716144732,High
1.1941769709812606,0.6562082470211069,High
1.1579490673112853,1.0451900564164285,High
1.091610397509656,0.6355326325814837,High
1.0245001760713057,0.05440367539296038,High
1.1741120670452485,0.5163442059307076,High
1.584335270349213,1.2049055164130287,High
0.8394486106346677,-0.20108485443174867,High
1.3225888002228194,1.1997163159533286,High
0.8936866364946625,0.08168004481563967,High
1.1472658181295865,0.46817836916847977,High
0.8449438442859991,-0.9354314609405203,High
0.620529647343666,-1.2020672288134628,High
0.6835224356646398,-0.7541685429443064,High
0.8001329857803634,-0.2922654805181678,High
1.1966351152666654,0.6362139941731894,High
1.2709500987910332,0.9517938409630647,High
1.5391143899073556,0.6648299630226634,High
1.0988969979296586,0.1779178641460767,High
1.017413930686804,0.5158049752843589,High
1.3917864700603226,1.1908719885699284,High
1.2641171355228593,0.7564394230695112,High
1.2570856436391202,0.8306691677842363,High
1.153583730163793,-0.6540762052035001,High
1.3515858696363046,0.940673016005306,High
1.059857155763352,0.20669403461303915,High
1.0089652326444722,-0.0683846740320962,High
1.6684022769882996,0.21152639413082874,High
1.107022838586429,0.32169170595133345,High
1.1239363677107916,-0.10155700633021558,High
0.7727693838740086,-0.8280759414974257,High
1.0995828592290502,0.24569527916598966,High
1.3859370368147184,1.0553747901642097,High
1.0998113210529399,-0.05771383629297116,High
1.4377017062192374,1.29404961806029,High
